date,fitted_yield,exp_real_short_rate,exp_inflation,real_term_premium,inflation_risk_premium
2022-01-31,1.866,-0.272,2.119,0.038,-0.02
2022-02-28,1.888,-0.224,2.119,0.018,-0.025
2022-03-31,2.364,-0.001,2.215,0.146,0.004
2022-04-29,2.952,0.223,2.354,0.333,0.042
2022-05-31,2.923,0.237,2.351,0.304,0.031
2022-06-30,3.08,0.416,2.386,0.267,0.011
2022-07-29,2.707,0.368,2.298,0.08,-0.038
2022-08-31,3.212,0.6,2.408,0.215,-0.01
2022-09-30,3.891,0.903,2.558,0.402,0.028
2022-10-31,4.184,1.079,2.63,0.447,0.028
2022-11-30,3.666,0.947,2.507,0.235,-0.022
2022-12-30,3.875,1.013,2.558,0.31,-0.006
2023-01-31,3.502,0.911,2.474,0.161,-0.043
2023-02-28,3.949,1.099,2.571,0.294,-0.014
2023-03-31,3.523,0.919,2.481,0.167,-0.043
2023-04-28,3.488,0.926,2.476,0.139,-0.053
2023-05-31,3.68,1.049,2.517,0.165,-0.051
2023-06-30,3.833,1.118,2.542,0.21,-0.038
2023-07-31,3.961,1.156,2.574,0.259,-0.027
2023-08-31,4.1,1.192,2.609,0.315,-0.015
2023-09-29,4.648,1.348,2.741,0.526,0.032
2023-10-31,4.954,1.433,2.817,0.646,0.059
2023-11-30,4.429,1.254,2.696,0.462,0.017
2023-12-29,3.905,1.075,2.575,0.279,-0.024
2024-01-31,4.011,1.095,2.601,0.327,-0.012
2024-02-29,4.266,1.198,2.655,0.407,0.007
2024-03-28,4.192,1.181,2.637,0.375,-0.001
2024-04-30,4.653,1.333,2.74,0.541,0.039
2024-05-31,4.499,1.28,2.706,0.488,0.026
2024-06-28,4.332,1.22,2.669,0.431,0.012
2024-07-31,4.081,1.099,2.618,0.366,-0.002
2024-08-30,3.926,1.009,2.587,0.337,-0.007
2024-09-30,3.818,0.902,2.564,0.35,0.002
2024-10-31,4.307,1.071,2.672,0.521,0.043
2024-11-29,4.191,1.037,2.643,0.478,0.034
2024-12-31,4.594,1.126,2.739,0.653,0.076
2025-01-31,4.599,1.13,2.741,0.653,0.075
2025-02-28,4.26,1.025,2.664,0.527,0.046
2025-03-31,4.264,1.007,2.668,0.54,0.049
2025-04-30,4.231,0.973,2.67,0.542,0.047
2025-05-30,4.479,1.071,2.726,0.619,0.063
2025-06-30,4.306,1.007,2.687,0.562,0.05
2025-07-31,4.429,1.053,2.713,0.603,0.06
2025-08-29,4.304,0.961,2.691,0.593,0.06
2025-09-30,4.222,0.924,2.667,0.573,0.059
2025-10-31,4.173,0.908,2.654,0.555,0.055
2025-11-28,4.113,0.879,2.643,0.539,0.051
2025-12-31,4.271,0.899,2.681,0.619,0.072
2026-01-30,4.338,0.923,2.696,0.642,0.078
2026-02-27,4.057,0.837,2.631,0.537,0.053
2026-03-31,4.386,0.96,2.701,0.646,0.079
2026-04-30,4.488,0.989,2.725,0.686,0.088
2026-05-29,4.543,1.019,2.734,0.698,0.092
2026-06-30,4.504,1.048,2.722,0.655,0.079
2026-07-31,4.851,1.142,2.805,0.793,0.111
2026-08-31,4.843,1.153,2.801,0.781,0.109
